"Title",Rate,"Category",Year
"The Dark Knight",9.0,"Action, Crime, Drama",2008
"Dag II",8.9,"Action, Drama, War",2016
"Inception",8.8,"Action, Adventure, Sci-Fi",2010
"The Lord of the Rings: The Fellowship of the Ring",8.8,"Action, Adventure, Drama",2001
"The Matrix",8.7,"Action, Sci-Fi",1999
"Star Wars: Episode V - The Empire Strikes Back",8.7,"Action, Adventure, Fantasy",1980
"Seppuku",8.7,"Action, Drama, History",1962
"Star Wars",8.6,"Action, Adventure, Fantasy",1977
"Shichinin no samurai",8.6,"Action, Adventure, Drama",1954
"Avengers: Infinity War",8.5,"Action, Adventure, Sci-Fi",2018
"Gladiator",8.5,"Action, Adventure, Drama",2000
"Léon",8.5,"Action, Crime, Drama",1994
"Terminator 2: Judgment Day",8.5,"Action, Sci-Fi",1991
"Dangal",8.4,"Action, Biography, Drama",2016
"Spider-Man: Into the Spider-Verse",8.4,"Animation, Action, Adventure",2018
"Avengers: Endgame",8.4,"Action, Adventure, Drama",2019
"The Dark Knight Rises",8.4,"Action, Adventure",2012
"Oldeuboi",8.4,"Action, Drama, Mystery",2003
"Raiders of the Lost Ark",8.4,"Action, Adventure",1981
"Uri: The Surgical Strike",8.3,"Action, Drama, War",2019
"Aliens",8.3,"Action, Adventure, Sci-Fi",1986
"Star Wars: Episode VI - Return of the Jedi",8.3,"Action, Adventure, Fantasy",1983
"K.G.F: Chapter 1",8.2,"Action, Drama",2018
"Baahubali 2: The Conclusion",8.2,"Action, Drama",2017
"Vishwaroopam",8.2,"Action, Thriller",2013
"Gangs of Wasseypur",8.2,"Action, Crime, Drama",2012
"Paan Singh Tomar",8.2,"Action, Biography, Crime",2012
"V for Vendetta",8.2,"Action, Drama, Sci-Fi",2005
"Batman Begins",8.2,"Action, Adventure",2005
"Hera Pheri",8.2,"Action, Comedy, Crime",2000
"Lock, Stock and Two Smoking Barrels",8.2,"Action, Comedy, Crime",1998
"Andaz Apna Apna",8.2,"Action, Comedy, Family",1994
"Indiana Jones and the Last Crusade",8.2,"Action, Adventure",1989
"Die Hard",8.2,"Action, Thriller",1988
"Ran",8.2,"Action, Drama, War",1985
"Sholay",8.2,"Action, Adventure, Comedy",1975
"Yôjinbô",8.2,"Action, Drama, Thriller",1961
"Sherlock Jr.",8.2,"Action, Comedy, Romance",1924
"Haider",8.1,"Action, Crime, Drama",2014
"Logan",8.1,"Action, Drama, Sci-Fi",2017
"Bãhubali: The Beginning",8.1,"Action, Drama",2015
"1 - Nenokkadine",8.1,"Action, Thriller",2014
"Ford v Ferrari",8.1,"Action, Biography, Drama",2019
"Mad Max: Fury Road",8.1,"Action, Adventure, Sci-Fi",2015
"How to Train Your Dragon",8.1,"Animation, Action, Adventure",2010
"Tropa de Elite",8.1,"Action, Crime, Drama",2007
"Taegukgi hwinalrimyeo",8.1,"Action, Drama, War",2004
"Salinui chueok",8.1,"Action, Crime, Drama",2003
"Jurassic Park",8.1,"Action, Adventure, Sci-Fi",1993
"Blade Runner",8.1,"Action, Sci-Fi, Thriller",1982
"Sanjuro",8.1,"Action, Comedy, Crime",1962
"White Heat",8.1,"Action, Crime, Drama",1949
"The General",8.1,"Action, Adventure, Comedy",1926
"Bajrangi Bhaijaan",8.0,"Action, Comedy, Drama",2015
"Serbuan maut 2: Berandal",8.0,"Action, Crime, Thriller",2014
"Guardians of the Galaxy",8.0,"Action, Adventure, Comedy",2014
"X-Men: Days of Future Past",8.0,"Action, Adventure, Sci-Fi",2014
"Blade Runner 2049",8.0,"Action, Drama, Mystery",2017
"The Revenant",8.0,"Action, Adventure, Biography",2015
"Tropa de Elite 2: O Inimigo Agora é Outro",8.0,"Action, Crime, Drama",2010
