"Title",Rate,"Category",Year
"Sen to Chihiro no kamikakushi",8.6,"Animation, Adventure, Family",2001
"The Lion King",8.5,"Animation, Adventure, Drama",1994
"Hotaru no haka",8.5,"Animation, Drama, War",1988
"Kimi no na wa.",8.4,"Animation, Drama, Fantasy",2016
"Spider-Man: Into the Spider-Verse",8.4,"Animation, Action, Adventure",2018
"WALL·E",8.4,"Animation, Adventure, Family",2008
"Mononoke-hime",8.4,"Animation, Adventure, Fantasy",1997
"Toy Story 3",8.3,"Animation, Adventure, Comedy",2010
"Toy Story",8.3,"Animation, Adventure, Comedy",1995
"Koe no katachi",8.2,"Animation, Drama, Family",2016
"Klaus",8.2,"Animation, Adventure, Comedy",2019
"Up",8.2,"Animation, Adventure, Comedy",2009
"Hauru no ugoku shiro",8.2,"Animation, Adventure, Family",2004
"Tonari no Totoro",8.2,"Animation, Family, Fantasy",1988
"Ookami kodomo no Ame to Yuki",8.1,"Animation, Drama, Family",2012
"Song of the Sea",8.1,"Animation, Adventure, Drama",2014
"Mary and Max",8.1,"Animation, Comedy, Drama",2009
"How to Train Your Dragon",8.1,"Animation, Action, Adventure",2010
"Finding Nemo",8.1,"Animation, Adventure, Comedy",2003
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,"Animation, Action, Drama",1997
"Kaze no tani no Naushika",8.1,"Animation, Adventure, Fantasy",1984
"Zootopia",8.0,"Animation, Adventure, Comedy",2016
"Kaguyahime no monogatari",8.0,"Animation, Adventure, Drama",2013
"Persepolis",8.0,"Animation, Biography, Drama",2007
"Ratatouille",8.0,"Animation, Adventure, Comedy",2007
"The Incredibles",8.0,"Animation, Action, Adventure",2004
"Monsters, Inc.",8.0,"Animation, Adventure, Comedy",2001
"Pâfekuto burû",8.0,"Animation, Horror, Mystery",1997
"The Iron Giant",8.0,"Animation, Action, Adventure",1999
"Kôkaku Kidôtai",8.0,"Animation, Action, Crime",1995
"The Nightmare Before Christmas",8.0,"Animation, Family, Fantasy",1993
"Aladdin",8.0,"Animation, Adventure, Comedy",1992
"Beauty and the Beast",8.0,"Animation, Family, Fantasy",1991
"Akira",8.0,"Animation, Drama, Sci-Fi",1988
"Tenkû no shiro Rapyuta",8.0,"Animation, Adventure, Drama",1986
"Pink Floyd: The Wall",8.0,"Animation, Drama, Fantasy",1982
"Isle of Dogs",7.9,"Animation, Adventure, Comedy",2018
"Fantastic Mr. Fox",7.9,"Animation, Adventure, Comedy",2009
"Cowboy Bebop: Tengoku no tobira",7.9,"Animation, Action, Crime",2001
"Toy Story 2",7.9,"Animation, Adventure, Comedy",1999
"Mimi wo sumaseba",7.9,"Animation, Drama, Family",1995
"Jûbê ninpûchô",7.9,"Animation, Action, Adventure",1993
"Kubo and the Two Strings",7.8,"Animation, Action, Adventure",2016
"Loving Vincent",7.8,"Animation, Biography, Crime",2017
"Big Hero 6",7.8,"Animation, Action, Adventure",2014
"Kaze tachinu",7.8,"Animation, Biography, Drama",2013
