"Title",Rate,"Category",Year
"Schindler's List",8.9,"Biography, Drama, History",1993
"Goodfellas",8.7,"Biography, Crime, Drama",1990
"Ayla: The Daughter of War",8.5,"Biography, Drama, History",2017
"The Intouchables",8.5,"Biography, Comedy, Drama",2011
"The Pianist",8.5,"Biography, Drama, Music",2002
"Dangal",8.4,"Action, Biography, Drama",2016
"Braveheart",8.3,"Biography, Drama, History",1995
"Amadeus",8.3,"Biography, Drama, History",1984
"Lawrence of Arabia",8.3,"Adventure, Biography, Drama",1962
"Green Book",8.2,"Biography, Comedy, Drama",2018
"Bhaag Milkha Bhaag",8.2,"Biography, Drama, Sport",2013
"Paan Singh Tomar",8.2,"Action, Biography, Crime",2012
"The Wolf of Wall Street",8.2,"Biography, Crime, Drama",2013
"Der Untergang",8.2,"Biography, Drama, History",2004
"A Beautiful Mind",8.2,"Biography, Drama",2001
"Raging Bull",8.2,"Biography, Drama, Sport",1980
"The Message",8.2,"Biography, Drama, History",1976
"Hacksaw Ridge",8.1,"Biography, Drama, History",2016
"12 Years a Slave",8.1,"Biography, Drama, History",2013
"Ford v Ferrari",8.1,"Action, Biography, Drama",2019
"Into the Wild",8.1,"Adventure, Biography, Drama",2007
"Hotel Rwanda",8.1,"Biography, Drama, History",2004
"Catch Me If You Can",8.1,"Biography, Crime, Drama",2002
"In the Name of the Father",8.1,"Biography, Drama",1993
"The Elephant Man",8.1,"Biography, Drama",1980
"Zerkalo",8.1,"Biography, Drama",1975
"Andrei Rublev",8.1,"Biography, Drama, History",1966
"Inherit the Wind",8.1,"Biography, Drama, History",1960
"La passion de Jeanne d'Arc",8.1,"Biography, Drama, History",1928
"Togo",8.0,"Adventure, Biography, Drama",2019
"Lion",8.0,"Biography, Drama",2016
"The Imitation Game",8.0,"Biography, Drama, Thriller",2014
"Bohemian Rhapsody",8.0,"Biography, Drama, Music",2018
"The Revenant",8.0,"Action, Adventure, Biography",2015
"The King's Speech",8.0,"Biography, Drama, History",2010
"Yip Man",8.0,"Action, Adventure, Biography",2008
"Persepolis",8.0,"Animation, Biography, Drama",2007
"Dallas Buyers Club",8.0,"Biography, Drama",2013
"The Pursuit of Happyness",8.0,"Biography, Drama",2006
"Le scaphandre et le papillon",8.0,"Biography, Drama",2007
"Cinderella Man",8.0,"Biography, Drama, History",2005
"The Straight Story",8.0,"Biography, Drama",1999
"Gandhi",8.0,"Biography, Drama, History",1982
"All the President's Men",8.0,"Biography, Drama, History",1976
"Dog Day Afternoon",8.0,"Biography, Crime, Drama",1975
"Papillon",8.0,"Biography, Crime, Drama",1973
"Butch Cassidy and the Sundance Kid",8.0,"Biography, Crime, Drama",1969
"The Sound of Music",8.0,"Biography, Drama, Family",1965
"Straight Outta Compton",7.9,"Biography, Drama, History",2015
"The Irishman",7.9,"Biography, Crime, Drama",2019
"My Left Foot: The Story of Christy Brown",7.9,"Biography, Drama",1989
"Aguirre, der Zorn Gottes",7.9,"Action, Adventure, Biography",1972
"Patton",7.9,"Biography, Drama, War",1970
"The Lion in Winter",7.9,"Biography, Drama, History",1968
"Spartacus",7.9,"Adventure, Biography, Drama",1960
"Sanju",7.8,"Biography, Drama",2018
"Hidden Figures",7.8,"Biography, Drama, History",2016
"Loving Vincent",7.8,"Animation, Biography, Crime",2017
"Kaze tachinu",7.8,"Animation, Biography, Drama",2013
"The Big Short",7.8,"Biography, Comedy, Drama",2015
"Captain Phillips",7.8,"Biography, Crime, Drama",2013
"American Gangster",7.8,"Biography, Crime, Drama",2007
"The World's Fastest Indian",7.8,"Biography, Drama, Sport",2005
"Walk the Line",7.8,"Biography, Drama, Music",2005
