"Title",Rate,"Category",Year
"The Godfather",9.2,"Crime, Drama",1972
"The Dark Knight",9.0,"Action, Crime, Drama",2008
"The Godfather: Part II",9.0,"Crime, Drama",1974
"Pulp Fiction",8.9,"Crime, Drama",1994
"12 Angry Men",8.9,"Crime, Drama",1957
"Goodfellas",8.7,"Biography, Crime, Drama",1990
"Cidade de Deus",8.6,"Crime, Drama",2002
"The Green Mile",8.6,"Crime, Drama, Fantasy",1999
"Se7en",8.6,"Crime, Drama, Mystery",1995
"The Silence of the Lambs",8.6,"Crime, Drama, Thriller",1991
"Joker",8.5,"Crime, Drama, Thriller",2019
"The Departed",8.5,"Crime, Drama, Thriller",2006
"The Usual Suspects",8.5,"Crime, Mystery, Thriller",1995
"Léon",8.5,"Action, Crime, Drama",1994
"Tengoku to jigoku",8.5,"Crime, Drama, Mystery",1963
"Drishyam",8.4,"Crime, Drama, Thriller",2013
"Once Upon a Time in America",8.4,"Crime, Drama",1984
"Witness for the Prosecution",8.4,"Crime, Drama, Mystery",1957
"Andhadhun",8.3,"Crime, Thriller",2018
"Snatch",8.3,"Comedy, Crime",2000
"Eskiya",8.3,"Crime, Drama, Thriller",1996
"Reservoir Dogs",8.3,"Crime, Drama, Thriller",1992
"Scarface",8.3,"Crime, Drama",1983
"Taxi Driver",8.3,"Crime, Drama",1976
"The Sting",8.3,"Comedy, Crime, Drama",1973
"A Clockwork Orange",8.3,"Crime, Drama, Sci-Fi",1971
"Double Indemnity",8.3,"Crime, Drama, Film-Noir",1944
"M - Eine Stadt sucht einen Mörder",8.3,"Crime, Mystery, Thriller",1931
"Three Billboards Outside Ebbing, Missouri",8.2,"Comedy, Crime, Drama",2017
"Talvar",8.2,"Crime, Drama, Mystery",2015
"Gangs of Wasseypur",8.2,"Action, Crime, Drama",2012
"Paan Singh Tomar",8.2,"Action, Biography, Crime",2012
"The Wolf of Wall Street",8.2,"Biography, Crime, Drama",2013
"Hera Pheri",8.2,"Action, Comedy, Crime",2000
"Lock, Stock and Two Smoking Barrels",8.2,"Action, Comedy, Crime",1998
"L.A. Confidential",8.2,"Crime, Drama, Mystery",1997
"Heat",8.2,"Crime, Drama, Thriller",1995
"Casino",8.2,"Crime, Drama",1995
"To Kill a Mockingbird",8.2,"Crime, Drama",1962
"Dial M for Murder",8.2,"Crime, Thriller",1954
"Rashômon",8.2,"Crime, Drama, Mystery",1950
"Contratiempo",8.1,"Crime, Mystery, Thriller",2016
"Haider",8.1,"Action, Crime, Drama",2014
"The Grand Budapest Hotel",8.1,"Adventure, Comedy, Crime",2014
"Prisoners",8.1,"Crime, Drama, Mystery",2013
"A Wednesday",8.1,"Crime, Drama, Mystery",2008
"Tropa de Elite",8.1,"Action, Crime, Drama",2007
"No Country for Old Men",8.1,"Crime, Drama, Thriller",2007
"Salinui chueok",8.1,"Action, Crime, Drama",2003
"Kill Bill: Vol. 1",8.1,"Action, Crime, Thriller",2003
"Catch Me If You Can",8.1,"Biography, Crime, Drama",2002
"Crna macka, beli macor",8.1,"Comedy, Crime, Romance",1998
"The Big Lebowski",8.1,"Comedy, Crime, Sport",1998
"Fargo",8.1,"Crime, Drama, Thriller",1996
"La haine",8.1,"Crime, Drama",1995
"Chung Hing sam lam",8.1,"Comedy, Crime, Drama",1994
"Le samouraï",8.1,"Crime, Drama, Mystery",1967
"Cool Hand Luke",8.1,"Crime, Drama",1967
"Sanjuro",8.1,"Action, Comedy, Crime",1962
"Les quatre cents coups",8.1,"Crime, Drama",1959
"On the Waterfront",8.1,"Crime, Drama, Thriller",1954
"White Heat",8.1,"Action, Crime, Drama",1949
"Manbiki kazoku",8.0,"Crime, Drama",2018
"Zootopia",8.0,"Animation, Adventure, Comedy",2016
"Special Chabbis",8.0,"Crime, Drama, Thriller",2013
"Serbuan maut 2: Berandal",8.0,"Action, Crime, Thriller",2014
"Tropa de Elite 2: O Inimigo Agora é Outro",8.0,"Action, Crime, Drama",2010
"Bin-jip",8.0,"Crime, Drama, Romance",2004
"Sin City",8.0,"Crime, Thriller",2005
"Kill Bill: Vol. 2",8.0,"Action, Crime, Thriller",2004
"Mou gaan dou",8.0,"Crime, Drama, Mystery",2002
"Dogville",8.0,"Crime, Drama",2003
"Dancer in the Dark",8.0,"Crime, Drama, Musical",2000
"Knockin' on Heaven's Door",8.0,"Action, Crime, Comedy",1997
"Kôkaku Kidôtai",8.0,"Animation, Action, Crime",1995
"Bound by Honor",8.0,"Crime, Drama",1993
"Dog Day Afternoon",8.0,"Biography, Crime, Drama",1975
"Papillon",8.0,"Biography, Crime, Drama",1973
"Butch Cassidy and the Sundance Kid",8.0,"Biography, Crime, Drama",1969
"Anatomy of a Murder",8.0,"Crime, Drama, Mystery",1959
"Touch of Evil",8.0,"Crime, Drama, Film-Noir",1958
"The Killing",8.0,"Crime, Drama, Film-Noir",1956
"The Night of the Hunter",8.0,"Crime, Drama, Film-Noir",1955
"Les diaboliques",8.0,"Crime, Drama, Horror",1955
"Strangers on a Train",8.0,"Crime, Film-Noir, Thriller",1951
"Kind Hearts and Coronets",8.0,"Comedy, Crime",1949
"Rope",8.0,"Crime, Drama, Mystery",1948
"Out of the Past",8.0,"Crime, Drama, Film-Noir",1947
"Arsenic and Old Lace",8.0,"Comedy, Crime, Thriller",1944
"The Thin Man",8.0,"Comedy, Crime, Mystery",1934
"Knives Out",7.9,"Comedy, Crime, Drama",2019
"The Gentlemen",7.9,"Action, Comedy, Crime",2019
"Bir Zamanlar Anadolu'da",7.9,"Crime, Drama",2011
"Waar",7.9,"Action, Crime, Drama",2013
"The Irishman",7.9,"Biography, Crime, Drama",2019
"Un prophète",7.9,"Crime, Drama",2009
"Chugyeogja",7.9,"Action, Crime, Thriller",2008
"In Bruges",7.9,"Comedy, Crime, Drama",2008
"Fantastic Mr. Fox",7.9,"Animation, Adventure, Comedy",2009
"Mystic River",7.9,"Crime, Drama, Mystery",2003
"Cowboy Bebop: Tengoku no tobira",7.9,"Animation, Action, Crime",2001
"Nueve reinas",7.9,"Crime, Drama, Thriller",2000
"Once Were Warriors",7.9,"Crime, Drama",1994
"True Romance",7.9,"Crime, Drama, Romance",1993
"Carlito's Way",7.9,"Crime, Drama, Thriller",1993
"The Untouchables",7.9,"Crime, Drama, Thriller",1987
"The Blues Brothers",7.9,"Adventure, Comedy, Crime",1980
"In the Heat of the Night",7.9,"Crime, Drama, Mystery",1967
"À bout de souffle",7.9,"Crime, Drama",1960
"The Big Sleep",7.9,"Crime, Film-Noir, Mystery",1946
"Udta Punjab",7.8,"Action, Crime, Drama",2016
"The Hateful Eight",7.8,"Crime, Drama, Mystery",2015
"Loving Vincent",7.8,"Animation, Biography, Crime",2017
"Nightcrawler",7.8,"Crime, Drama, Thriller",2014
"La migliore offerta",7.8,"Crime, Drama, Mystery",2013
"Ang-ma-reul bo-at-da",7.8,"Action, Crime, Drama",2010
"The Girl with the Dragon Tattoo",7.8,"Crime, Drama, Mystery",2011
"Captain Phillips",7.8,"Biography, Crime, Drama",2013
"Madeo",7.8,"Crime, Drama, Thriller",2009
"Män som hatar kvinnor",7.8,"Crime, Drama, Mystery",2009
"American Gangster",7.8,"Biography, Crime, Drama",2007
"Adams æbler",7.8,"Comedy, Crime, Drama",2005
"Lilja 4-ever",7.8,"Crime, Drama",2002
"The Boondock Saints",7.8,"Action, Crime, Thriller",1999
"Hana-bi",7.8,"Crime, Drama, Romance",1997
"The Fugitive",7.8,"Action, Crime, Drama",1993
"A Bronx Tale",7.8,"Crime, Drama, Romance",1993
"Batman: Mask of the Phantasm",7.8,"Animation, Action, Crime",1993
"Lat sau san taam",7.8,"Action, Crime, Thriller",1992
"Miller's Crossing",7.8,"Crime, Drama, Thriller",1990
"Dip huet seung hung",7.8,"Action, Crime, Drama",1989
"Mississippi Burning",7.8,"Crime, Drama, History",1988
"Down by Law",7.8,"Comedy, Crime, Drama",1986
"The King of Comedy",7.8,"Comedy, Crime, Drama",1982
"The Day of the Jackal",7.8,"Crime, Drama, Thriller",1973
"Badlands",7.8,"Crime, Drama",1973
"Bonnie and Clyde",7.8,"Action, Biography, Crime",1967
"Key Largo",7.8,"Action, Crime, Drama",1948
"Wind River",7.7,"Crime, Drama, Mystery",2017
"Changeling",7.7,"Biography, Crime, Drama",2008
"Death Note: Desu nôto",7.7,"Crime, Drama, Fantasy",2006
"This Is England",7.7,"Crime, Drama",2006
"Zodiac",7.7,"Crime, Drama, Mystery",2007
"Lucky Number Slevin",7.7,"Crime, Drama, Mystery",2006
"3:10 to Yuma",7.7,"Action, Adventure, Crime",2007
"Man on Fire",7.7,"Action, Crime, Drama",2004
"21 Grams",7.7,"Crime, Drama, Thriller",2003
"Road to Perdition",7.7,"Crime, Drama, Thriller",2002
"Ocean's Eleven",7.7,"Crime, Thriller",2001
"O Brother, Where Art Thou?",7.7,"Adventure, Comedy, Crime",2000
"Training Day",7.7,"Crime, Drama, Thriller",2001
"Donnie Brasco",7.7,"Biography, Crime, Drama",1997
"Primal Fear",7.7,"Crime, Drama, Mystery",1996
"Glengarry Glen Ross",7.7,"Crime, Drama, Mystery",1992
"Boyz n the Hood",7.7,"Crime, Drama",1991
"Who Framed Roger Rabbit",7.7,"Animation, Adventure, Comedy",1988
"Der Name der Rose",7.7,"Crime, Drama, Mystery",1986
"After Hours",7.7,"Comedy, Crime, Drama",1985
"The Taking of Pelham One Two Three",7.7,"Action, Crime, Thriller",1974
"Serpico",7.7,"Biography, Crime, Drama",1973
"Enter the Dragon",7.7,"Action, Crime, Drama",1973
"The French Connection",7.7,"Action, Crime, Drama",1971
"Dirty Harry",7.7,"Action, Crime, Thriller",1971
"The Ladykillers",7.7,"Comedy, Crime",1955
"Just Mercy",7.6,"Biography, Crime, Drama",2019
"Baby Driver",7.6,"Action, Crime, Drama",2017
"Sicario",7.6,"Action, Crime, Drama",2015
"Who Am I - Kein System ist sicher",7.6,"Crime, Drama, Mystery",2014
"Leviafan",7.6,"Crime, Drama",2014
"Delhi Belly",7.6,"Action, Comedy, Crime",2011
"End of Watch",7.6,"Action, Crime, Drama",2012
"Kick-Ass",7.6,"Action, Comedy, Crime",2010
"Celda 211",7.6,"Action, Adventure, Crime",2009
"Sin nombre",7.6,"Adventure, Crime, Drama",2009
"Die Fälscher",7.6,"Crime, Drama, History",2007
"Eastern Promises",7.6,"Action, Crime, Drama",2007
"Dalkomhan insaeng",7.6,"Action, Crime, Drama",2005
"Inside Man",7.6,"Crime, Drama, Mystery",2006
"Gone Baby Gone",7.6,"Crime, Drama, Mystery",2007
"Chinjeolhan geumjassi",7.6,"Crime, Drama, Thriller",2005
"Sophie Scholl - Die letzten Tage",7.6,"Biography, Crime, Drama",2005
"Dead Man's Shoes",7.6,"Crime, Drama, Thriller",2004
