"Title",Rate,"Category",Year
"Hababam Sinifi",9.3,"Comedy, Drama",1975
"The Shawshank Redemption",9.3,"Drama",1994
"The Godfather",9.2,"Crime, Drama",1972
"The Dark Knight",9.0,"Action, Crime, Drama",2008
"The Godfather: Part II",9.0,"Crime, Drama",1974
"Dag II",8.9,"Action, Drama, War",2016
"The Lord of the Rings: The Return of the King",8.9,"Adventure, Drama, Fantasy",2003
"Pulp Fiction",8.9,"Crime, Drama",1994
"Schindler's List",8.9,"Biography, Drama, History",1993
"12 Angry Men",8.9,"Crime, Drama",1957
"Fight Club",8.8,"Drama",1999
"The Lord of the Rings: The Fellowship of the Ring",8.8,"Action, Adventure, Drama",2001
"Forrest Gump",8.8,"Drama, Romance",1994
"The Lord of the Rings: The Two Towers",8.7,"Adventure, Drama, Fantasy",2002
"Goodfellas",8.7,"Biography, Crime, Drama",1990
"One Flew Over the Cuckoo's Nest",8.7,"Drama",1975
"Seppuku",8.7,"Action, Drama, History",1962
"Gisaengchung",8.6,"Comedy, Drama, Thriller",2019
"Interstellar",8.6,"Adventure, Drama, Sci-Fi",2014
"Cidade de Deus",8.6,"Crime, Drama",2002
"Saving Private Ryan",8.6,"Drama, War",1998
"The Green Mile",8.6,"Crime, Drama, Fantasy",1999
"La vita è bella",8.6,"Comedy, Drama, Romance",1997
"Se7en",8.6,"Crime, Drama, Mystery",1995
"The Silence of the Lambs",8.6,"Crime, Drama, Thriller",1991
"Anand",8.6,"Drama, Musical",1971
"Shichinin no samurai",8.6,"Action, Adventure, Drama",1954
"It's a Wonderful Life",8.6,"Drama, Family, Fantasy",1946
"Joker",8.5,"Crime, Drama, Thriller",2019
"Ayla: The Daughter of War",8.5,"Biography, Drama, History",2017
"Whiplash",8.5,"Drama, Music",2014
"The Intouchables",8.5,"Biography, Comedy, Drama",2011
"The Prestige",8.5,"Drama, Mystery, Sci-Fi",2006
"The Departed",8.5,"Crime, Drama, Thriller",2006
"The Pianist",8.5,"Biography, Drama, Music",2002
"Gladiator",8.5,"Action, Adventure, Drama",2000
"American History X",8.5,"Drama",1998
"Léon",8.5,"Action, Crime, Drama",1994
"The Lion King",8.5,"Animation, Adventure, Drama",1994
"Nuovo Cinema Paradiso",8.5,"Drama",1988
"Hotaru no haka",8.5,"Animation, Drama, War",1988
"Tengoku to jigoku",8.5,"Crime, Drama, Mystery",1963
"Casablanca",8.5,"Drama, Romance, War",1942
"Modern Times",8.5,"Comedy, Drama, Family",1936
"City Lights",8.5,"Comedy, Drama, Romance",1931
"Capharnaüm",8.4,"Drama",2018
"Kimi no na wa.",8.4,"Animation, Drama, Fantasy",2016
"Dangal",8.4,"Action, Biography, Drama",2016
"Avengers: Endgame",8.4,"Action, Adventure, Drama",2019
"Drishyam",8.4,"Crime, Drama, Thriller",2013
"Django Unchained",8.4,"Drama, Western",2012
"3 Idiots",8.4,"Comedy, Drama",2009
"Taare Zameen Par",8.4,"Drama, Family",2007
"The Lives of Others",8.4,"Drama, Mystery, Thriller",2006
"Oldeuboi",8.4,"Action, Drama, Mystery",2003
"Once Upon a Time in America",8.4,"Crime, Drama",1984
"The Shining",8.4,"Drama, Horror",1980
"Apocalypse Now",8.4,"Drama, Mystery, War",1979
"Witness for the Prosecution",8.4,"Crime, Drama, Mystery",1957
"Paths of Glory",8.4,"Drama, War",1957
"Sunset Blvd.",8.4,"Drama, Film-Noir",1950
"The Great Dictator",8.4,"Comedy, Drama, War",1940
"1917",8.3,"Drama, War",2019
"Uri: The Surgical Strike",8.3,"Action, Drama, War",2019
"Jagten",8.3,"Drama",2012
"Jodaeiye Nader az Simin",8.3,"Drama",2011
"Incendies",8.3,"Drama, Mystery, War",2010
"Yedinci Kogustaki Mucize",8.3,"Drama",2019
"Babam ve Oglum",8.3,"Drama, Family",2005
"Inglourious Basterds",8.3,"Adventure, Drama, War",2009
"Eternal Sunshine of the Spotless Mind",8.3,"Drama, Romance, Sci-Fi",2004
"Requiem for a Dream",8.3,"Drama",2000
"American Beauty",8.3,"Drama",1999
"Good Will Hunting",8.3,"Drama, Romance",1997
"Bacheha-Ye aseman",8.3,"Drama, Family, Sport",1997
"Eskiya",8.3,"Crime, Drama, Thriller",1996
"Braveheart",8.3,"Biography, Drama, History",1995
"Reservoir Dogs",8.3,"Crime, Drama, Thriller",1992
"Full Metal Jacket",8.3,"Drama, War",1987
"Idi i smotri",8.3,"Drama, War",1985
"Amadeus",8.3,"Biography, Drama, History",1984
"Scarface",8.3,"Crime, Drama",1983
"Das Boot",8.3,"Adventure, Drama, Thriller",1981
"Taxi Driver",8.3,"Crime, Drama",1976
"The Sting",8.3,"Comedy, Crime, Drama",1973
"A Clockwork Orange",8.3,"Crime, Drama, Sci-Fi",1971
"Lawrence of Arabia",8.3,"Adventure, Biography, Drama",1962
"The Apartment",8.3,"Comedy, Drama, Romance",1960
"Ikiru",8.3,"Drama",1952
"Ladri di biciclette",8.3,"Drama",1948
"Double Indemnity",8.3,"Crime, Drama, Film-Noir",1944
"Citizen Kane",8.3,"Drama, Mystery",1941
"Metropolis",8.3,"Drama, Sci-Fi",1927
"The Kid",8.3,"Comedy, Drama, Family",1921
"K.G.F: Chapter 1",8.2,"Action, Drama",2018
"Green Book",8.2,"Biography, Comedy, Drama",2018
"Koe no katachi",8.2,"Animation, Drama, Family",2016
"Three Billboards Outside Ebbing, Missouri",8.2,"Comedy, Crime, Drama",2017
"Talvar",8.2,"Crime, Drama, Mystery",2015
"Baahubali 2: The Conclusion",8.2,"Action, Drama",2017
"Drishyam",8.2,"Crime, Drama, Mystery",2015
"Queen",8.2,"Adventure, Comedy, Drama",2013
"Mandariinid",8.2,"Drama, War",2013
"Gully Boy",8.2,"Drama, Musical",2019
"Bhaag Milkha Bhaag",8.2,"Biography, Drama, Sport",2013
"Gangs of Wasseypur",8.2,"Action, Crime, Drama",2012
"Udaan",8.2,"Drama",2010
"El secreto de sus ojos",8.2,"Drama, Mystery, Romance",2009
"Warrior",8.2,"Drama, Sport",2011
"The Wolf of Wall Street",8.2,"Biography, Crime, Drama",2013
"Chak De! India",8.2,"Drama, Family, Sport",2007
"There Will Be Blood",8.2,"Drama",2007
"Pan's Labyrinth",8.2,"Drama, Fantasy, War",2006
"V for Vendetta",8.2,"Action, Drama, Sci-Fi",2005
"Rang De Basanti",8.2,"Comedy, Drama",2006
"Black",8.2,"Drama",2005
"Swades: We, the People",8.2,"Drama",2004
"Der Untergang",8.2,"Biography, Drama, History",2004
"A Beautiful Mind",8.2,"Biography, Drama",2001
"Hera Pheri",8.2,"Action, Comedy, Crime",2000
"L.A. Confidential",8.2,"Crime, Drama, Mystery",1997
"Heat",8.2,"Crime, Drama, Thriller",1995
