"Title",Rate,"Category",Year
"Sen to Chihiro no kamikakushi",8.6,"Animation, Adventure, Family",2001
"It's a Wonderful Life",8.6,"Drama, Family, Fantasy",1946
"The Lion King",8.5,"Animation, Adventure, Drama",1994
"Modern Times",8.5,"Comedy, Drama, Family",1936
"Spider-Man: Into the Spider-Verse",8.4,"Animation, Action, Adventure",2018
"Taare Zameen Par",8.4,"Drama, Family",2007
"WALL·E",8.4,"Animation, Adventure, Family",2008
"Babam ve Oglum",8.3,"Drama, Family",2005
"Toy Story 3",8.3,"Animation, Adventure, Comedy",2010
"Bacheha-Ye aseman",8.3,"Drama, Family, Sport",1997
"Toy Story",8.3,"Animation, Adventure, Comedy",1995
"The Kid",8.3,"Comedy, Drama, Family",1921
"Koe no katachi",8.2,"Animation, Drama, Family",2016
"Klaus",8.2,"Animation, Adventure, Comedy",2019
"Up",8.2,"Animation, Adventure, Comedy",2009
"Chak De! India",8.2,"Drama, Family, Sport",2007
"Hauru no ugoku shiro",8.2,"Animation, Adventure, Family",2004
"Andaz Apna Apna",8.2,"Action, Comedy, Family",1994
"Tonari no Totoro",8.2,"Animation, Family, Fantasy",1988
"Ookami kodomo no Ame to Yuki",8.1,"Animation, Drama, Family",2012
"Song of the Sea",8.1,"Animation, Adventure, Drama",2014
"Hachi: A Dog's Tale",8.1,"Drama, Family",2009
"Mary and Max",8.1,"Animation, Comedy, Drama",2009
"How to Train Your Dragon",8.1,"Animation, Action, Adventure",2010
"Finding Nemo",8.1,"Animation, Adventure, Comedy",2003
"The Princess Bride",8.1,"Adventure, Family, Fantasy",1987
"Togo",8.0,"Adventure, Biography, Drama",2019
"Zootopia",8.0,"Animation, Adventure, Comedy",2016
"Kaguyahime no monogatari",8.0,"Animation, Adventure, Drama",2013
"Persepolis",8.0,"Animation, Biography, Drama",2007
"Ratatouille",8.0,"Animation, Adventure, Comedy",2007
"The Incredibles",8.0,"Animation, Action, Adventure",2004
"Monsters, Inc.",8.0,"Animation, Adventure, Comedy",2001
"The Iron Giant",8.0,"Animation, Action, Adventure",1999
"The Nightmare Before Christmas",8.0,"Animation, Family, Fantasy",1993
"Aladdin",8.0,"Animation, Adventure, Comedy",1992
"Beauty and the Beast",8.0,"Animation, Family, Fantasy",1991
"Tenkû no shiro Rapyuta",8.0,"Animation, Adventure, Drama",1986
"Fiddler on the Roof",8.0,"Drama, Family, Musical",1971
"The Sound of Music",8.0,"Biography, Drama, Family",1965
"The Wizard of Oz",8.0,"Adventure, Family, Fantasy",1939
"Fantastic Mr. Fox",7.9,"Animation, Adventure, Comedy",2009
"Harry Potter and the Prisoner of Azkaban",7.9,"Adventure, Family, Fantasy",2004
"Toy Story 2",7.9,"Animation, Adventure, Comedy",1999
"Mimi wo sumaseba",7.9,"Animation, Drama, Family",1995
"A Christmas Story",7.9,"Comedy, Family",1983
"Miracle on 34th Street",7.9,"Comedy, Drama, Family",1947
"Bringing Up Baby",7.9,"Comedy, Family, Romance",1938
"Paddington 2",7.8,"Adventure, Comedy, Family",2017
"Kubo and the Two Strings",7.8,"Animation, Action, Adventure",2016
"Loving Vincent",7.8,"Animation, Biography, Crime",2017
"Big Hero 6",7.8,"Animation, Action, Adventure",2014
"English Vinglish",7.8,"Comedy, Drama, Family",2012
