"Title",Rate,"Category",Year
"Schindler's List",8.9,"Biography, Drama, History",1993
"Seppuku",8.7,"Action, Drama, History",1962
"Ayla: The Daughter of War",8.5,"Biography, Drama, History",2017
"Braveheart",8.3,"Biography, Drama, History",1995
"Amadeus",8.3,"Biography, Drama, History",1984
"Lawrence of Arabia",8.3,"Adventure, Biography, Drama",1962
"Der Untergang",8.2,"Biography, Drama, History",2004
"The Message",8.2,"Biography, Drama, History",1976
"The Great Escape",8.2,"Adventure, Drama, History",1963
"Hacksaw Ridge",8.1,"Biography, Drama, History",2016
"12 Years a Slave",8.1,"Biography, Drama, History",2013
"Hotel Rwanda",8.1,"Biography, Drama, History",2004
"Da hong deng long gao gao gua",8.1,"Drama, History, Romance",1991
"Barry Lyndon",8.1,"Adventure, Drama, History",1975
"Andrei Rublev",8.1,"Biography, Drama, History",1966
"Inherit the Wind",8.1,"Biography, Drama, History",1960
"Ben-Hur",8.1,"Adventure, Drama, History",1959
"Kumonosu-jô",8.1,"Drama, History",1957
"Gone with the Wind",8.1,"Drama, History, Romance",1939
"La passion de Jeanne d'Arc",8.1,"Biography, Drama, History",1928
"Togo",8.0,"Adventure, Biography, Drama",2019
"Airlift",8.0,"Drama, History",2016
"The Revenant",8.0,"Action, Adventure, Biography",2015
"The King's Speech",8.0,"Biography, Drama, History",2010
"Yip Man",8.0,"Action, Adventure, Biography",2008
"Persepolis",8.0,"Animation, Biography, Drama",2007
"Cinderella Man",8.0,"Biography, Drama, History",2005
"JFK",8.0,"Drama, History, Thriller",1991
"Gandhi",8.0,"Biography, Drama, History",1982
"Kagemusha",8.0,"Drama, History, War",1980
"All the President's Men",8.0,"Biography, Drama, History",1976
"The Grapes of Wrath",8.0,"Drama, History",1940
"Bronenosets Potemkin",8.0,"Drama, History, Thriller",1925
"Dunkirk",7.9,"Action, Drama, History",2017
"Straight Outta Compton",7.9,"Biography, Drama, History",2015
"Letters from Iwo Jima",7.9,"Action, Adventure, Drama",2006
"Ying xiong",7.9,"Action, Adventure, History",2002
"Aguirre, der Zorn Gottes",7.9,"Action, Adventure, Biography",1972
"The Lion in Winter",7.9,"Biography, Drama, History",1968
"Spartacus",7.9,"Adventure, Biography, Drama",1960
"Hidden Figures",7.8,"Biography, Drama, History",2016
"Under sandet",7.8,"Drama, History, War",2015
"Kaze tachinu",7.8,"Animation, Biography, Drama",2013
"The Big Short",7.8,"Biography, Comedy, Drama",2015
"Das weiße Band - Eine deutsche Kindergeschichte",7.8,"Drama, History, Mystery",2009
"Tombstone",7.8,"Action, Biography, Drama",1993
"Glory",7.8,"Biography, Drama, History",1989
"Mississippi Burning",7.8,"Crime, Drama, History",1988
"The Killing Fields",7.8,"Biography, Drama, History",1984
"The Right Stuff",7.8,"Adventure, Biography, Drama",1983
"The Man Who Would Be King",7.8,"Adventure, History, War",1975
"The Longest Day",7.8,"Action, Drama, History",1962
"Frost/Nixon",7.7,"Biography, Drama, History",2008
"Changeling",7.7,"Biography, Crime, Drama",2008
"The Last King of Scotland",7.7,"Biography, Drama, History",2006
"Joyeux Noël",7.7,"Drama, History, Music",2005
"Black Hawk Down",7.7,"Drama, History, War",2001
"Malcolm X",7.7,"Biography, Drama, History",1992
"The Last Emperor",7.7,"Biography, Drama, History",1987
"Empire of the Sun",7.7,"Action, Drama, History",1987
"A Man for All Seasons",7.7,"Biography, Drama, History",1966
"Zulu",7.7,"Drama, History, War",1964
"Dark Waters",7.6,"Biography, Drama, History",2019
"Zimna wojna",7.6,"Drama, History, Music",2018
"Hotel Mumbai",7.6,"Action, Drama, History",2018
"Bridge of Spies",7.6,"Drama, History, Thriller",2015
"Les Misérables",7.6,"Drama, History, Musical",2012
"Lo imposible",7.6,"Drama, History, Thriller",2012
"Jin ling shi san chai",7.6,"Drama, History, Romance",2011
"Die Fälscher",7.6,"Crime, Drama, History",2007
"Jodhaa Akbar",7.6,"Action, Drama, History",2008
"The Illusionist",7.6,"Drama, Fantasy, History",2006
"Sophie Scholl - Die letzten Tage",7.6,"Biography, Crime, Drama",2005
"Enemy at the Gates",7.6,"Drama, History, War",2001
"Gettysburg",7.6,"Drama, History, War",1993
"The Favourite",7.5,"Biography, Comedy, Drama",2018
"Yip Man 2",7.5,"Action, Biography, Drama",2010
"En kongelig affære",7.5,"Biography, Drama, History",2012
"Se, jie",7.5,"Drama, History, Romance",2007
"United 93",7.5,"Drama, History, Thriller",2006
"The Assassination of Jesse James by the Coward Robert Ford",7.5,"Biography, Crime, Drama",2007
"Munich",7.5,"Action, Drama, History",2005
"Miracle",7.5,"Biography, Drama, History",2004
"Quiz Show",7.5,"Biography, Drama, History",1994
"Henry V",7.5,"Action, Biography, Drama",1989
"Tora! Tora! Tora!",7.5,"Action, Drama, History",1970
"Patriots Day",7.4,"Action, Crime, Drama",2016
"Darkest Hour",7.4,"Biography, Drama, Family",2017
"Zero Dark Thirty",7.4,"Drama, History, Thriller",2012
"Der Baader Meinhof Komplex",7.4,"Action, Biography, Crime",2008
"Good Night, and Good Luck.",7.4,"Biography, Drama, History",2005
"Chi bi",7.4,"Action, Adventure, Drama",2008
"Master and Commander: The Far Side of the World",7.4,"Action, Adventure, Drama",2003
"Rabbit-Proof Fence",7.4,"Adventure, Biography, Drama",2002
"Elizabeth",7.4,"Biography, Drama, History",1998
"The Mission",7.4,"Adventure, Drama, History",1986
"Gallipoli",7.4,"Adventure, Drama, History",1981
"A Bridge Too Far",7.4,"Drama, History, War",1977
"Detroit",7.3,"Crime, Drama, History",2017
"13 Hours",7.3,"Action, Drama, History",2016
"Woman in Gold",7.3,"Biography, Drama, History",2015
"Testament of Youth",7.3,"Biography, Drama, History",2014
"First Man",7.3,"Biography, Drama, History",2018
"Invictus",7.3,"Biography, Drama, History",2009
"Max Manus",7.3,"Action, Biography, Drama",2008
"The Young Victoria",7.3,"Biography, Drama, History",2009
"Across the Universe",7.3,"Drama, Fantasy, History",2007
"Lincoln",7.3,"Biography, Drama, History",2012
"The Queen",7.3,"Biography, Drama, History",2006
"Capote",7.3,"Biography, Crime, Drama",2005
"Seabiscuit",7.3,"Drama, History, Sport",2003
"Thirteen Days",7.3,"Drama, History, Thriller",2000
"Amistad",7.3,"Biography, Drama, History",1997
"The Post",7.2,"Biography, Drama, History",2017
"The Death of Stalin",7.2,"Comedy, Drama, History",2017
"Anthropoid",7.2,"Action, Biography, Drama",2016
"The Siege of Jadotville",7.2,"Action, Drama, History",2016
"Bajirao Mastani",7.2,"Action, Drama, History",2015
"Stan & Ollie",7.2,"Biography, Comedy, Drama",2018
"The Physician",7.2,"Adventure, Drama, History",2013
"Kon-Tiki",7.2,"Adventure, Biography, Drama",2012
"War Horse",7.2,"Action, Adventure, Drama",2011
"Agora",7.2,"Adventure, Biography, Drama",2009
"Secretariat",7.2,"Biography, Drama, Family",2010
"Che: Part One",7.2,"Biography, Drama, History",2008
"Mongol",7.2,"Action, Biography, Drama",2007
"Troy",7.2,"Drama, History",2004
"Kingdom of Heaven",7.2,"Action, Adventure, Drama",2005
"We Were Soldiers",7.2,"Action, Drama, History",2002
"The Patriot",7.2,"Action, Drama, History",2000
"Cold Mountain",7.2,"Adventure, Drama, History",2003
"Colonia",7.1,"Biography, Drama, History",2015
"Mandela: Long Walk to Freedom",7.1,"Biography, Drama, History",2013
"Deepwater Horizon",7.1,"Action, Drama, History",2016
"Yip Man chin chyun",7.1,"Action, Biography, Drama",2010
"Valkyrie",7.1,"Drama, History, Thriller",2008
"Flags of Our Fathers",7.1,"Action, Adventure, Drama",2006
"Shattered Glass",7.1,"Drama, History",2003
"Shakespeare in Love",7.1,"Comedy, Drama, History",1998
"Seven Years in Tibet",7.1,"Adventure, Biography, Drama",1997
"Nixon",7.1,"Biography, Drama, History",1995
"Balto",7.1,"Animation, Adventure, Drama",1995
"Padmaavat",7.0,"Drama, History, Romance",2018
"The Water Diviner",7.0,"Drama, History, War",2014
"The Zookeeper's Wife",7.0,"Biography, Drama, History",2017
"Public Enemies",7.0,"Biography, Crime, Drama",2009
"Tau ming chong",7.0,"Action, Adventure, Drama",2007
"Charlie Wilson's War",7.0,"Biography, Comedy, Drama",2007
"Breach",7.0,"Biography, Crime, Drama",2007
"Kundun",7.0,"Biography, Drama, History",1997
"Cool Runnings",7.0,"Adventure, Comedy, Family",1993
"Cleopatra",7.0,"Biography, Drama, History",1963
"Outlaw King",6.9,"Action, Biography, Drama",2018
"Suffragette",6.9,"Drama, History",2015
"The 33",6.9,"Biography, Drama, History",2015
"In the Heart of the Sea",6.9,"Action, Adventure, Biography",2015
"Free State of Jones",6.9,"Action, Biography, Drama",2016
"The Conspirator",6.9,"Crime, Drama, History",2010
"The Duchess",6.9,"Biography, Drama, History",2008
"Goya's Ghosts",6.9,"Biography, Drama, History",2006
"The Stanford Prison Experiment",6.9,"Biography, Drama, History",2015
"Che: Part Two",6.9,"Biography, Drama, History",2008
"Rob Roy",6.9,"Adventure, Biography, Drama",1995
"History of the World: Part I",6.9,"Comedy, History, Musical",1981
"22 July",6.8,"Crime, Drama, History",2018
"Victoria & Abdul",6.8,"Biography, Drama, History",2017
"The Finest Hours",6.8,"Action, Drama, History",2016
"21",6.8,"Crime, Drama, History",2008
"Elizabeth: The Golden Age",6.8,"Biography, Drama, History",2007
"The Crucible",6.8,"Drama, History",1996
"Midway",6.7,"Action, Adventure, Drama",2019
"Fetih 1453",6.7,"Action, Drama, History",2012
"Taking Woodstock",6.7,"Biography, Comedy, Drama",2009
"The Other Boleyn Girl",6.7,"Biography, Drama, History",2008
"The New World",6.7,"Biography, Drama, History",2005
"The Good Shepherd",6.7,"Drama, History, Thriller",2006
"K-19: The Widowmaker",6.7,"Drama, History, Thriller",2002
"Anna and the King",6.7,"Drama, History, Romance",1999
"Operation Finale",6.6,"Biography, Drama, History",2018
"The Lost City of Z",6.6,"Biography, Drama, History",2016
"Robin Hood",6.6,"Action, Adventure, Drama",2010
"A Mighty Heart",6.6,"Biography, Drama, History",2007
"The 13th Warrior",6.6,"Action, Adventure, History",1999
"12 Strong",6.5,"Action, Drama, History",2018
"Child 44",6.5,"Crime, Drama, History",2015
"Flyboys",6.5,"Action, Drama, History",2006
"Hollywoodland",6.5,"Biography, Crime, Drama",2006
"Ned Kelly",6.5,"Action, Adventure, Biography",2003
"1492: Conquest of Paradise",6.5,"Adventure, Biography, Drama",1992
"Black Death",6.4,"Action, Drama, History",2010
"Centurion",6.4,"Action, Drama, History",2010
"Marie Antoinette",6.4,"Biography, Drama, History",2006
"Joan of Arc",6.4,"Adventure, Biography, Drama",1999
"Mary Queen of Scots",6.3,"Biography, Drama, History",2018
"The Libertine",6.3,"Biography, Drama, History",2004
"King Arthur",6.3,"Action, Adventure, Drama",2004
"Evita",6.3,"Biography, Drama, History",1996
"Last Knights",6.2,"Action, Drama, History",2015
"The Eagle",6.2,"Action, Adventure, Drama",2011
"Pearl Harbor",6.2,"Action, Drama, History",2001
"The Monuments Men",6.1,"Comedy, Drama, History",2014
"Ironclad",6.1,"Action, Drama, History",2011
"Red Tails",5.9,"Action, Drama, History",2012
"World Trade Center",5.9,"Drama, History, Thriller",2006
"Ben-Hur",5.7,"Action, Adventure, Drama",2016
"The Three Musketeers",5.7,"Action, Adventure, Fantasy",2011
"Alexander",5.6,"Action, Biography, Drama",2004
"Caligola",5.4,"Drama, History",1979
"10,000 BC",5.1,"Action, Adventure, Drama",2008
"Marighella",3.0,"Action, Drama, History",2019
