"Title",Rate,"Category",Year
"Psycho",8.5,"Horror, Mystery, Thriller",1960
"The Shining",8.4,"Drama, Horror",1980
"Alien",8.4,"Horror, Sci-Fi",1979
"The Thing",8.1,"Horror, Mystery, Sci-Fi",1982
"What Ever Happened to Baby Jane?",8.1,"Drama, Horror, Thriller",1962
"Das Cabinet des Dr. Caligari",8.1,"Fantasy, Horror, Mystery",1920
"Pâfekuto burû",8.0,"Animation, Horror, Mystery",1997
"The Exorcist",8.0,"Horror",1973
"Rosemary's Baby",8.0,"Drama, Horror",1968
"Les diaboliques",8.0,"Crime, Drama, Horror",1955
"Låt den rätte komma in",7.9,"Drama, Horror, Romance",2008
"Shaun of the Dead",7.9,"Comedy, Horror",2004
"Dawn of the Dead",7.9,"Horror, Thriller",1978
"Night of the Living Dead",7.9,"Horror",1968
"King Kong",7.9,"Adventure, Horror, Sci-Fi",1933
"Freaks",7.9,"Drama, Horror",1932
"Nosferatu",7.9,"Fantasy, Horror",1922
"Ang-ma-reul bo-at-da",7.8,"Action, Crime, Drama",2010
"Evil Dead II",7.8,"Comedy, Horror",1987
"Halloween",7.8,"Horror, Thriller",1978
"The Innocents",7.8,"Horror",1961
"Bride of Frankenstein",7.8,"Drama, Horror, Sci-Fi",1935
"Frankenstein",7.8,"Drama, Horror, Sci-Fi",1931
"What We Do in the Shadows",7.7,"Comedy, Horror",2014
"Vampire Hunter D: Bloodlust",7.7,"Animation, Action, Fantasy",2000
"Repulsion",7.7,"Drama, Horror, Thriller",1965
"The Birds",7.7,"Drama, Horror, Mystery",1963
"Peeping Tom",7.7,"Drama, Horror, Thriller",1960
"Les yeux sans visage",7.7,"Drama, Horror",1960
"Invasion of the Body Snatchers",7.7,"Drama, Horror, Sci-Fi",1956
"The Invisible Man",7.7,"Horror, Sci-Fi",1933
"Stree",7.6,"Comedy, Horror",2018
"La piel que habito",7.6,"Drama, Horror, Thriller",2011
"Saw",7.6,"Horror, Mystery",2004
"28 Days Later...",7.6,"Drama, Horror, Sci-Fi",2002
"The Others",7.6,"Horror, Mystery, Thriller",2001
"Interview with the Vampire: The Vampire Chronicles",7.6,"Drama, Horror",1994
"The Fly",7.6,"Drama, Horror, Sci-Fi",1986
"Profondo rosso",7.6,"Horror, Mystery, Thriller",1975
"Gojira",7.6,"Drama, Horror, Sci-Fi",1954
"A Quiet Place",7.5,"Drama, Horror, Sci-Fi",2018
"Upgrade",7.5,"Action, Horror, Sci-Fi",2018
"Busanhaeng",7.5,"Action, Horror, Thriller",2016
"Gok-seong",7.5,"Horror, Mystery, Thriller",2016
"Tucker and Dale vs Evil",7.5,"Comedy, Horror",2010
"The Conjuring",7.5,"Horror, Mystery, Thriller",2013
"Grindhouse",7.5,"Action, Horror, Thriller",2007
"Army of Darkness",7.5,"Comedy, Horror",1992
"Braindead",7.5,"Comedy, Horror",1992
"A Nightmare on Elm Street",7.5,"Horror",1984
"The Evil Dead",7.5,"Horror",1981
"An American Werewolf in London",7.5,"Comedy, Horror",1981
"Nosferatu: Phantom der Nacht",7.5,"Drama, Horror",1979
"The Omen",7.5,"Horror",1976
"The Texas Chain Saw Massacre",7.5,"Horror",1974
"The Wicker Man",7.5,"Horror, Mystery, Thriller",1973
"The Haunting",7.5,"Horror",1963
"Dracula",7.5,"Fantasy, Horror",1931
"Doctor Sleep",7.4,"Drama, Fantasy, Horror",2019
"Take Shelter",7.4,"Drama, Horror, Thriller",2011
