"Title",Rate,"Category",Year
"Forrest Gump",8.8,"Drama, Romance",1994
"La vita è bella",8.6,"Comedy, Drama, Romance",1997
"Casablanca",8.5,"Drama, Romance, War",1942
"Modern Times",8.5,"Comedy, Drama, Family",1936
"City Lights",8.5,"Comedy, Drama, Romance",1931
"Kimi no na wa.",8.4,"Animation, Drama, Fantasy",2016
"Eternal Sunshine of the Spotless Mind",8.3,"Drama, Romance, Sci-Fi",2004
"Amélie",8.3,"Comedy, Romance",2001
"Good Will Hunting",8.3,"Drama, Romance",1997
"The Apartment",8.3,"Comedy, Drama, Romance",1960
"Vertigo",8.3,"Mystery, Romance, Thriller",1958
"Singin' in the Rain",8.3,"Comedy, Musical, Romance",1952
"Koe no katachi",8.2,"Animation, Drama, Family",2016
"El secreto de sus ojos",8.2,"Drama, Mystery, Romance",2009
"Andaz Apna Apna",8.2,"Action, Comedy, Family",1994
"Some Like It Hot",8.2,"Comedy, Music, Romance",1959
"Smultronstället",8.2,"Drama, Romance",1957
"Sherlock Jr.",8.2,"Action, Comedy, Romance",1924
"Portrait de la jeune fille en feu",8.1,"Drama, Romance",2019
"Ah-ga-ssi",8.1,"Drama, Romance, Thriller",2016
"Barfi!",8.1,"Comedy, Drama, Romance",2012
"Lage Raho Munna Bhai",8.1,"Comedy, Drama, Romance",2006
"Dil Chahta Hai",8.1,"Comedy, Drama, Romance",2001
"La leggenda del pianista sull'oceano",8.1,"Drama, Music, Romance",1998
"Crna macka, beli macor",8.1,"Comedy, Crime, Romance",1998
"Fa yeung nin wah",8.1,"Drama, Romance",2000
"Dilwale Dulhania Le Jayenge",8.1,"Drama, Romance",1995
"Before Sunrise",8.1,"Drama, Romance",1995
"Trois couleurs: Rouge",8.1,"Drama, Mystery, Romance",1994
"Chung Hing sam lam",8.1,"Comedy, Crime, Drama",1994
"Da hong deng long gao gao gua",8.1,"Drama, History, Romance",1991
"The Princess Bride",8.1,"Adventure, Family, Fantasy",1987
"The Red Shoes",8.1,"Drama, Music, Romance",1948
"The Shop Around the Corner",8.1,"Comedy, Drama, Romance",1940
"Rebecca",8.1,"Drama, Mystery, Romance",1940
"Gone with the Wind",8.1,"Drama, History, Romance",1939
"It Happened One Night",8.1,"Comedy, Romance",1934
"Sunrise: A Song of Two Humans",8.1,"Drama, Romance",1927
"Marriage Story",8.0,"Comedy, Drama, Romance",2019
"La La Land",8.0,"Comedy, Drama, Music",2016
"Her",8.0,"Drama, Romance, Sci-Fi",2013
"The Perks of Being a Wallflower",8.0,"Drama, Romance",2012
"Dev.D",8.0,"Drama, Romance",2009
"Slumdog Millionaire",8.0,"Drama, Romance",2008
"Bin-jip",8.0,"Crime, Drama, Romance",2004
"Before Sunset",8.0,"Drama, Romance",2004
"Bom Yeoareum Gaeul Gyeoul Geurigo Bom",8.0,"Drama, Romance",2003
"Cinderella Man",8.0,"Biography, Drama, History",2005
"Kal ho naa ho",8.0,"Comedy, Drama, Romance",2003
"Big Fish",8.0,"Adventure, Drama, Fantasy",2003
"Yeopgijeogin geunyeo",8.0,"Comedy, Drama, Romance",2001
"Groundhog Day",8.0,"Comedy, Fantasy, Romance",1993
