"Title",Rate,"Category",Year
"Inception",8.8,"Action, Adventure, Sci-Fi",2010
"The Matrix",8.7,"Action, Sci-Fi",1999
"Star Wars: Episode V - The Empire Strikes Back",8.7,"Action, Adventure, Fantasy",1980
"Interstellar",8.6,"Adventure, Drama, Sci-Fi",2014
"Star Wars",8.6,"Action, Adventure, Fantasy",1977
"Avengers: Infinity War",8.5,"Action, Adventure, Sci-Fi",2018
"The Prestige",8.5,"Drama, Mystery, Sci-Fi",2006
"Terminator 2: Judgment Day",8.5,"Action, Sci-Fi",1991
"Back to the Future",8.5,"Adventure, Comedy, Sci-Fi",1985
"Spider-Man: Into the Spider-Verse",8.4,"Animation, Action, Adventure",2018
"Avengers: Endgame",8.4,"Action, Adventure, Drama",2019
"WALL·E",8.4,"Animation, Adventure, Family",2008
"Alien",8.4,"Horror, Sci-Fi",1979
"Eternal Sunshine of the Spotless Mind",8.3,"Drama, Romance, Sci-Fi",2004
"Aliens",8.3,"Action, Adventure, Sci-Fi",1986
"Star Wars: Episode VI - Return of the Jedi",8.3,"Action, Adventure, Fantasy",1983
"A Clockwork Orange",8.3,"Crime, Drama, Sci-Fi",1971
"2001: A Space Odyssey",8.3,"Adventure, Sci-Fi",1968
"Metropolis",8.3,"Drama, Sci-Fi",1927
"V for Vendetta",8.2,"Action, Drama, Sci-Fi",2005
"Stalker",8.2,"Drama, Sci-Fi",1979
"Logan",8.1,"Action, Drama, Sci-Fi",2017
"Mad Max: Fury Road",8.1,"Action, Adventure, Sci-Fi",2015
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,"Animation, Action, Drama",1997
"The Truman Show",8.1,"Comedy, Drama, Sci-Fi",1998
"Jurassic Park",8.1,"Action, Adventure, Sci-Fi",1993
"Kaze no tani no Naushika",8.1,"Animation, Adventure, Fantasy",1984
"The Thing",8.1,"Horror, Mystery, Sci-Fi",1982
"Blade Runner",8.1,"Action, Sci-Fi, Thriller",1982
"Solaris",8.1,"Drama, Mystery, Sci-Fi",1972
"The Martian",8.0,"Adventure, Drama, Sci-Fi",2015
"Guardians of the Galaxy",8.0,"Action, Adventure, Comedy",2014
"X-Men: Days of Future Past",8.0,"Action, Adventure, Sci-Fi",2014
"Blade Runner 2049",8.0,"Action, Drama, Mystery",2017
"Her",8.0,"Drama, Romance, Sci-Fi",2013
"Deadpool",8.0,"Action, Adventure, Comedy",2016
"The Avengers",8.0,"Action, Adventure, Sci-Fi",2012
"G.O.R.A.",8.0,"Adventure, Comedy, Sci-Fi",2004
"Donnie Darko",8.0,"Drama, Mystery, Sci-Fi",2001
"The Iron Giant",8.0,"Animation, Action, Adventure",1999
"Twelve Monkeys",8.0,"Mystery, Sci-Fi, Thriller",1995
"Kôkaku Kidôtai",8.0,"Animation, Action, Crime",1995
"Akira",8.0,"Animation, Drama, Sci-Fi",1988
"Tenkû no shiro Rapyuta",8.0,"Animation, Adventure, Drama",1986
"The Terminator",8.0,"Action, Sci-Fi",1984
"Planet of the Apes",8.0,"Adventure, Sci-Fi",1968
"Isle of Dogs",7.9,"Animation, Adventure, Comedy",2018
"Thor: Ragnarok",7.9,"Action, Adventure, Comedy",2017
"Star Wars: Episode VII - The Force Awakens",7.9,"Action, Adventure, Sci-Fi",2015
"Edge of Tomorrow",7.9,"Action, Adventure, Sci-Fi",2014
"Moon",7.9,"Drama, Mystery, Sci-Fi",2009
"District 9",7.9,"Action, Sci-Fi, Thriller",2009
"Star Trek",7.9,"Action, Adventure, Sci-Fi",2009
"The Man from Earth",7.9,"Drama, Fantasy, Sci-Fi",2007
"Iron Man",7.9,"Action, Adventure, Sci-Fi",2008
"Cowboy Bebop: Tengoku no tobira",7.9,"Animation, Action, Crime",2001
"Children of Men",7.9,"Drama, Sci-Fi, Thriller",2006
"Brazil",7.9,"Drama, Sci-Fi",1985
"King Kong",7.9,"Adventure, Horror, Sci-Fi",1933
