"Title",Rate,"Category",Year
"Dag II",8.9,"Action, Drama, War",2016
"Saving Private Ryan",8.6,"Drama, War",1998
"La vita è bella",8.6,"Comedy, Drama, Romance",1997
"Ayla: The Daughter of War",8.5,"Biography, Drama, History",2017
"The Pianist",8.5,"Biography, Drama, Music",2002
"Hotaru no haka",8.5,"Animation, Drama, War",1988
"Casablanca",8.5,"Drama, Romance, War",1942
"Apocalypse Now",8.4,"Drama, Mystery, War",1979
"Paths of Glory",8.4,"Drama, War",1957
"The Great Dictator",8.4,"Comedy, Drama, War",1940
"1917",8.3,"Drama, War",2019
"Uri: The Surgical Strike",8.3,"Action, Drama, War",2019
"Incendies",8.3,"Drama, Mystery, War",2010
"Inglourious Basterds",8.3,"Adventure, Drama, War",2009
"Braveheart",8.3,"Biography, Drama, History",1995
"Full Metal Jacket",8.3,"Drama, War",1987
"Idi i smotri",8.3,"Drama, War",1985
"Das Boot",8.3,"Adventure, Drama, Thriller",1981
"Lawrence of Arabia",8.3,"Adventure, Biography, Drama",1962
"Mandariinid",8.2,"Drama, War",2013
"Pan's Labyrinth",8.2,"Drama, Fantasy, War",2006
"Der Untergang",8.2,"Biography, Drama, History",2004
"Ran",8.2,"Action, Drama, War",1985
"The Message",8.2,"Biography, Drama, History",1976
"The Great Escape",8.2,"Adventure, Drama, History",1963
"Judgment at Nuremberg",8.2,"Drama, War",1961
"To Be or Not to Be",8.2,"Comedy, War",1942
"Hacksaw Ridge",8.1,"Biography, Drama, History",2016
"Hotel Rwanda",8.1,"Biography, Drama, History",2004
"Taegukgi hwinalrimyeo",8.1,"Action, Drama, War",2004
"Underground",8.1,"Comedy, Drama, War",1995
"Platoon",8.1,"Drama, War",1986
"The Deer Hunter",8.1,"Drama, War",1978
"Barry Lyndon",8.1,"Adventure, Drama, History",1975
"La battaglia di Algeri",8.1,"Drama, War",1966
"Ivanovo detstvo",8.1,"Drama, War",1962
"The Bridge on the River Kwai",8.1,"Adventure, Drama, War",1957
"Gone with the Wind",8.1,"Drama, History, Romance",1939
"La Grande Illusion",8.1,"Drama, War",1937
"The General",8.1,"Action, Adventure, Comedy",1926
"The Imitation Game",8.0,"Biography, Drama, Thriller",2014
"Nefes: Vatan Sagolsun",8.0,"Action, Drama, Thriller",2009
"Persepolis",8.0,"Animation, Biography, Drama",2007
"Au revoir les enfants",8.0,"Drama, War",1987
"Kagemusha",8.0,"Drama, History, War",1980
"Doctor Zhivago",8.0,"Drama, Romance, War",1965
"Stalag 17",8.0,"Comedy, Drama, War",1953
"The Best Years of Our Lives",8.0,"Drama, Romance, War",1946
"All Quiet on the Western Front",8.0,"Drama, War",1930
"Dunkirk",7.9,"Action, Drama, History",2017
"Jojo Rabbit",7.9,"Comedy, Drama, War",2019
"Letters from Iwo Jima",7.9,"Action, Adventure, Drama",2006
"Patton",7.9,"Biography, Drama, War",1970
"Spartacus",7.9,"Adventure, Biography, Drama",1960
"Under sandet",7.8,"Drama, History, War",2015
"Kaze tachinu",7.8,"Animation, Biography, Drama",2013
"The Boy in the Striped Pyjamas",7.8,"Drama, War",2008
"Atonement",7.8,"Drama, Mystery, Romance",2007
"Gongdong gyeongbi guyeok JSA",7.8,"Action, Drama, Thriller",2000
"Glory",7.8,"Biography, Drama, History",1989
"The Killing Fields",7.8,"Biography, Drama, History",1984
"The Man Who Would Be King",7.8,"Adventure, History, War",1975
"The Longest Day",7.8,"Action, Drama, History",1962
"To Have and Have Not",7.8,"Adventure, Comedy, Film-Noir",1944
"Duck Soup",7.8,"Comedy, Musical, War",1933
"Beasts of No Nation",7.7,"Drama, War",2015
"Joyeux Noël",7.7,"Drama, History, Music",2005
"Zwartboek",7.7,"Drama, Thriller, War",2006
"The Last Samurai",7.7,"Action, Drama, War",2003
"Black Hawk Down",7.7,"Drama, History, War",2001
"The Last of the Mohicans",7.7,"Action, Adventure, Drama",1992
"Empire of the Sun",7.7,"Action, Drama, History",1987
"Love and Death",7.7,"Comedy, War",1975
"Where Eagles Dare",7.7,"Action, Adventure, War",1968
"The Dirty Dozen",7.7,"Action, Adventure, War",1967
"Zulu",7.7,"Drama, History, War",1964
"The African Queen",7.7,"Adventure, Drama, Romance",1951
"Fury",7.6,"Action, Drama, War",2014
"Les Misérables",7.6,"Drama, History, Musical",2012
"Jin ling shi san chai",7.6,"Drama, History, Romance",2011
"The Hurt Locker",7.6,"Drama, Thriller, War",2008
"The Book Thief",7.6,"Drama, War",2013
"Die Fälscher",7.6,"Crime, Drama, History",2007
"Jodhaa Akbar",7.6,"Action, Drama, History",2008
"Sophie Scholl - Die letzten Tage",7.6,"Biography, Crime, Drama",2005
"Un long dimanche de fiançailles",7.6,"Drama, Mystery, Romance",2004
"Enemy at the Gates",7.6,"Drama, History, War",2001
"The Thin Red Line",7.6,"Drama, War",1998
"Mulan",7.6,"Animation, Adventure, Family",1998
"Legends of the Fall",7.6,"Drama, Romance, War",1994
"Gettysburg",7.6,"Drama, History, War",1993
"Hair",7.6,"Comedy, Drama, Musical",1979
