"Title",Rate,"Category",Year
"Il buono, il brutto, il cattivo",8.8,"Western",1966
"Once Upon a Time in the West",8.5,"Western",1968
"Django Unchained",8.4,"Drama, Western",2012
"Per qualche dollaro in più",8.3,"Western",1965
"Unforgiven",8.2,"Drama, Western",1992
"Sholay",8.2,"Action, Adventure, Comedy",1975
"The Treasure of the Sierra Madre",8.2,"Adventure, Drama, Western",1948
"The Gold Rush",8.2,"Adventure, Comedy, Drama",1925
"The Man Who Shot Liberty Valance",8.1,"Drama, Western",1962
"The Revenant",8.0,"Action, Adventure, Biography",2015
"Dances with Wolves",8.0,"Adventure, Drama, Western",1990
"Butch Cassidy and the Sundance Kid",8.0,"Biography, Crime, Drama",1969
"Per un pugno di dollari",8.0,"Action, Drama, Western",1964
"Rio Bravo",8.0,"Action, Drama, Western",1959
"The Wild Bunch",7.9,"Action, Adventure, Western",1969
"The Searchers",7.9,"Adventure, Drama, Western",1956
"High Noon",7.9,"Drama, Thriller, Western",1952
"Stagecoach",7.9,"Adventure, Drama, Western",1939
"The Hateful Eight",7.8,"Crime, Drama, Mystery",2015
"Tombstone",7.8,"Action, Biography, Drama",1993
"The Outlaw Josey Wales",7.8,"Western",1976
"Red River",7.8,"Action, Adventure, Drama",1948
"3:10 to Yuma",7.7,"Action, Adventure, Crime",2007
"Blazing Saddles",7.7,"Comedy, Western",1974
"The Magnificent Seven",7.7,"Action, Adventure, Western",1960
"Hell or High Water",7.6,"Action, Crime, Drama",2016
"True Grit",7.6,"Drama, Western",2010
"Dead Man",7.6,"Adventure, Drama, Fantasy",1995
"Legends of the Fall",7.6,"Drama, Romance, War",1994
"Jeremiah Johnson",7.6,"Adventure, Drama, Western",1972
"Giù la testa",7.6,"Drama, War, Western",1971
"Little Big Man",7.6,"Adventure, Comedy, Drama",1970
"Giant",7.6,"Drama, Western",1956
"Shane",7.6,"Drama, Western",1953
"The Assassination of Jesse James by the Coward Robert Ford",7.5,"Biography, Crime, Drama",2007
"Of Mice and Men",7.5,"Drama, Western",1992
"High Plains Drifter",7.5,"Drama, Mystery, Western",1973
"Yahsi Bati",7.4,"Comedy, Western",2009
"The Proposition",7.4,"Crime, Drama, Western",2005
"The Three Burials of Melquiades Estrada",7.4,"Adventure, Crime, Drama",2005
"Open Range",7.4,"Action, Drama, Romance",2003
"Back to the Future Part III",7.4,"Adventure, Comedy, Sci-Fi",1990
"The Ballad of Buster Scruggs",7.3,"Comedy, Drama, Musical",2018
"Joheunnom nabbeunnom isanghannom",7.3,"Action, Adventure, Comedy",2008
"Pale Rider",7.3,"Drama, Western",1985
"Hostiles",7.2,"Drama, Western",2017
"Rango",7.2,"Animation, Adventure, Comedy",2011
"Silverado",7.2,"Action, Crime, Drama",1985
"Brimstone",7.1,"Drama, Mystery, Thriller",2016
"Spirit: Stallion of the Cimarron",7.1,"Animation, Adventure, Drama",2002
"Les frères Sisters",7.0,"Crime, Drama, Western",2018
"Bubba Ho-Tep",7.0,"Comedy, Fantasy, Horror",2002
"Maverick",7.0,"Action, Adventure, Comedy",1994
"Westworld",7.0,"Action, Sci-Fi, Thriller",1973
"Hang 'Em High",7.0,"Drama, Western",1968
"Slow West",6.9,"Action, Adventure, Drama",2015
"The Magnificent Seven",6.9,"Action, Adventure, Western",2016
"Free State of Jones",6.9,"Action, Biography, Drama",2016
"Young Guns",6.9,"Action, Western",1988
"The Salvation",6.7,"Drama, Western",2014
"Appaloosa",6.7,"Action, Crime, Drama",2008
"Seraphim Falls",6.7,"Action, Drama, Thriller",2006
"Hidalgo",6.7,"Action, Adventure, Biography",2004
"The Mask of Zorro",6.7,"Action, Adventure, Comedy",1998
"Wyatt Earp",6.7,"Adventure, Biography, Crime",1994
"City Slickers",6.7,"Comedy, Western",1991
"The Homesman",6.6,"Drama, Western",2014
"Australia",6.6,"Adventure, Comedy, Drama",2008
"Shanghai Noon",6.6,"Action, Adventure, Comedy",2000
"The Horse Whisperer",6.6,"Drama, Romance, Western",1998
"Far and Away",6.6,"Adventure, Drama, Romance",1992
"Outland",6.6,"Action, Crime, Sci-Fi",1981
"Ned Kelly",6.5,"Action, Adventure, Biography",2003
"Young Guns II",6.5,"Action, Western",2016
"¡Three Amigos!",6.5,"Comedy, Western",1986
"The Lone Ranger",6.4,"Action, Adventure, Comedy",2013
"The Quick and the Dead",6.4,"Action, Romance, Thriller",1995
"A Million Ways to Die in the West",6.1,"Comedy, Western",2014
"Cowboys & Aliens",6.0,"Action, Sci-Fi, Thriller",2011
"The Legend of Zorro",6.0,"Action, Adventure, Romance",2005
"Abraham Lincoln: Vampire Hunter",5.9,"Action, Fantasy, Horror",2012
"Around the World in 80 Days",5.9,"Action, Adventure, Comedy",2004
"Bandidas",5.7,"Action, Comedy, Crime",2006
"The Dark Tower",5.6,"Action, Adventure, Fantasy",2017
"Wild Wild West",4.9,"Action, Comedy, Sci-Fi",1999
"The Ridiculous 6",4.8,"Comedy, Western",2015
"Jonah Hex",4.7,"Action, Drama, Fantasy",2010
